
2016-07-08 14:00:05.472669	1 AUD buys 0.7569 USD
2016-07-08 16:00:05.037778	1 AUD buys 0.7569 USD
2016-07-09 08:00:05.171868	1 AUD buys 0.7569 USD
2016-07-10 08:00:05.813032	1 AUD buys 0.7569 USD
2016-07-10 22:00:07.951298	1 AUD buys 0.7568 USD
2016-07-11 08:00:09.574191	1 AUD buys 0.7542 USD
2016-07-11 12:00:08.373237	1 AUD buys 0.7535 USD
2016-07-11 14:00:06.929798	1 AUD buys 0.7532 USD
2016-07-11 18:00:05.870781	1 AUD buys 0.7543 USD
2016-07-11 20:00:12.582392	1 AUD buys 0.7589 USD
2016-07-11 22:00:05.907245	1 AUD buys 0.7581 USD
2016-07-12 00:00:07.292778	1 AUD buys 0.7597 USD
2016-07-12 02:00:04.987582	1 AUD buys 0.7629 USD
2016-07-12 04:00:04.580206	1 AUD buys 0.7631 USD
2016-07-12 06:00:04.654799	1 AUD buys 0.7633 USD
2016-07-12 08:00:05.583441	1 AUD buys 0.7623 USD
2016-07-12 10:00:04.504049	1 AUD buys 0.7650 USD
2016-07-12 12:00:05.474828	1 AUD buys 0.7638 USD
2016-07-12 18:00:05.603747	1 AUD buys 0.7614 USD
2016-07-12 20:00:06.206054	1 AUD buys 0.7597 USD
2016-07-12 22:00:04.328834	1 AUD buys 0.7604 USD
2016-07-13 00:00:11.872412	1 AUD buys 0.7589 USD
2016-07-13 02:00:04.075736	1 AUD buys 0.7604 USD
2016-07-13 04:00:04.588966	1 AUD buys 0.7627 USD
2016-07-13 06:00:05.037326	1 AUD buys 0.7634 USD
2016-07-13 14:00:07.174096	1 AUD buys 0.7608 USD
2016-07-13 16:00:05.313759	1 AUD buys 0.7601 USD
2016-07-13 18:00:06.250581	1 AUD buys 0.7596 USD
2016-07-13 22:00:03.768470	1 AUD buys 0.7610 USD
2016-07-14 00:00:07.625350	1 AUD buys 0.7628 USD
2016-07-14 02:00:06.402903	1 AUD buys 0.7636 USD
2016-07-14 04:00:11.441751	1 AUD buys 0.7643 USD
2016-07-14 06:00:06.151075	1 AUD buys 0.7629 USD
2016-07-14 08:00:09.625098	1 AUD buys 0.7634 USD
2016-07-14 10:00:04.172144	1 AUD buys 0.7641 USD
2016-07-14 12:00:04.876000	1 AUD buys 0.7638 USD
2016-07-15 00:00:10.294089	1 AUD buys 0.7632 USD
2016-07-15 02:00:05.337226	1 AUD buys 0.7655 USD
2016-07-15 10:00:05.581865	1 AUD buys 0.7588 USD
2016-07-15 22:00:08.852552	1 AUD buys 0.7578 USD
2016-07-16 00:00:07.712888	1 AUD buys 0.7578 USD
2016-07-16 02:00:05.002765	1 AUD buys 0.7578 USD
2016-07-16 04:00:05.686889	1 AUD buys 0.7578 USD
2016-07-16 06:00:05.162917	1 AUD buys 0.7578 USD
2016-07-16 08:00:05.289677	1 AUD buys 0.7578 USD
2016-07-16 10:00:06.838523	1 AUD buys 0.7578 USD
2016-07-16 16:00:05.674423	1 AUD buys 0.7578 USD
2016-07-17 00:00:08.538568	1 AUD buys 0.7578 USD
2016-07-17 02:00:04.800570	1 AUD buys 0.7578 USD
2016-07-17 04:00:05.373512	1 AUD buys 0.7578 USD
2016-07-17 06:00:04.593164	1 AUD buys 0.7578 USD
2016-07-17 08:00:04.786667	1 AUD buys 0.7578 USD
2016-07-17 10:00:06.881985	1 AUD buys 0.7578 USD
2016-07-17 22:01:09.065254	1 AUD buys 0.7596 USD
2016-07-18 00:00:05.717227	1 AUD buys 0.7590 USD
2016-07-18 02:00:04.127772	1 AUD buys 0.7605 USD
2016-07-18 04:00:05.752618	1 AUD buys 0.7594 USD
2016-07-18 06:00:04.630679	1 AUD buys 0.7584 USD
2016-07-18 08:00:05.057149	1 AUD buys 0.7582 USD
2016-07-18 12:00:04.988293	1 AUD buys 0.7593 USD
2016-07-18 14:00:03.902160	1 AUD buys 0.7591 USD
2016-07-18 16:00:52.747347	1 AUD buys 0.7581 USD
2016-07-18 20:00:04.402347	1 AUD buys 0.7525 USD
2016-07-18 22:00:06.871889	1 AUD buys 0.7523 USD
2016-07-19 00:00:09.359784	1 AUD buys 0.7513 USD
2016-07-19 02:00:04.192666	1 AUD buys 0.7505 USD
2016-07-19 04:00:06.529471	1 AUD buys 0.7494 USD
2016-07-19 06:00:05.298288	1 AUD buys 0.7484 USD
2016-07-19 08:00:05.240206	1 AUD buys 0.7489 USD
2016-07-19 16:00:05.119714	1 AUD buys 0.7515 USD
2016-07-19 18:00:05.982836	1 AUD buys 0.7495 USD
2016-07-19 22:00:06.047997	1 AUD buys 0.7502 USD
2016-07-20 00:00:06.558148	1 AUD buys 0.7488 USD
2016-07-20 02:00:03.550259	1 AUD buys 0.7484 USD
2016-07-20 04:00:05.294511	1 AUD buys 0.7489 USD
2016-07-20 06:00:04.351928	1 AUD buys 0.7469 USD
2016-07-20 08:00:04.564791	1 AUD buys 0.7489 USD
2016-07-20 10:00:06.312339	1 AUD buys 0.7483 USD
2016-07-20 14:00:05.714156	1 AUD buys 0.7476 USD
2016-07-20 20:00:04.349104	1 AUD buys 0.7476 USD
2016-07-21 00:00:07.619420	1 AUD buys 0.7491 USD
2016-07-21 02:00:04.001456	1 AUD buys 0.7499 USD
2016-07-21 04:00:05.073675	1 AUD buys 0.7494 USD
2016-07-21 06:00:05.952024	1 AUD buys 0.7497 USD
2016-07-21 10:00:05.118803	1 AUD buys 0.7493 USD
2016-07-21 14:00:05.849032	1 AUD buys 0.7494 USD
2016-07-21 20:00:05.612165	1 AUD buys 0.7469 USD
2016-07-21 22:00:06.076464	1 AUD buys 0.7480 USD
2016-07-22 00:00:06.990638	1 AUD buys 0.7481 USD
2016-07-22 02:00:05.841228	1 AUD buys 0.7476 USD
2016-07-22 04:00:05.284317	1 AUD buys 0.7478 USD
2016-07-22 06:00:05.620451	1 AUD buys 0.7471 USD
2016-07-22 08:00:05.679364	1 AUD buys 0.7444 USD
2016-07-22 14:00:05.392672	1 AUD buys 0.7465 USD
2016-07-22 16:00:06.591866	1 AUD buys 0.7462 USD
2016-07-22 20:00:16.887937	1 AUD buys 0.7462 USD
2016-07-22 22:00:06.048866	1 AUD buys 0.7462 USD
2016-07-23 00:00:06.115314	1 AUD buys 0.7462 USD
2016-07-23 02:00:06.187210	1 AUD buys 0.7462 USD
2016-07-23 04:00:06.111267	1 AUD buys 0.7462 USD
2016-07-23 06:00:04.679274	1 AUD buys 0.7462 USD
2016-07-23 08:00:05.645624	1 AUD buys 0.7462 USD
2016-07-24 22:00:05.972121	1 AUD buys 0.7474 USD
2016-07-25 00:00:06.057037	1 AUD buys 0.7479 USD
2016-07-25 02:00:06.111757	1 AUD buys 0.7487 USD
2016-07-25 04:00:05.472940	1 AUD buys 0.7488 USD
2016-07-25 06:00:03.845108	1 AUD buys 0.7462 USD
2016-07-25 08:00:05.307590	1 AUD buys 0.7460 USD
2016-07-25 16:00:05.575126	1 AUD buys 0.7474 USD
2016-07-25 22:00:05.518622	1 AUD buys 0.7523 USD
2016-07-26 00:00:06.972417	1 AUD buys 0.7517 USD
2016-07-26 02:00:03.927762	1 AUD buys 0.7525 USD
2016-07-26 04:00:05.672735	1 AUD buys 0.7527 USD
2016-07-26 06:00:04.441838	1 AUD buys 0.7532 USD
2016-07-26 08:00:08.719007	1 AUD buys 0.7511 USD
2016-07-26 12:00:09.956421	1 AUD buys 0.7507 USD
2016-07-26 14:00:05.557683	1 AUD buys 0.7501 USD
2016-07-26 20:00:08.893600	1 AUD buys 0.7500 USD
2016-07-26 22:00:05.674220	1 AUD buys 0.7494 USD
2016-07-27 00:00:07.524614	1 AUD buys 0.7470 USD
2016-07-27 02:00:05.186924	1 AUD buys 0.7490 USD
2016-07-27 04:00:05.667730	1 AUD buys 0.7472 USD
2016-07-27 06:00:05.519792	1 AUD buys 0.7473 USD
2016-07-27 08:00:05.489419	1 AUD buys 0.7468 USD
2016-07-27 14:00:05.643436	1 AUD buys 0.7491 USD
2016-07-27 20:00:04.963767	1 AUD buys 0.7512 USD
2016-07-27 22:00:05.081270	1 AUD buys 0.7525 USD
2016-07-28 00:00:06.635763	1 AUD buys 0.7531 USD
2016-07-28 02:00:04.241825	1 AUD buys 0.7541 USD
2016-07-28 04:00:03.993024	1 AUD buys 0.7530 USD
2016-07-28 06:00:04.528916	1 AUD buys 0.7527 USD
2016-07-28 08:00:03.834122	1 AUD buys 0.7512 USD
2016-07-28 10:00:04.822239	1 AUD buys 0.7506 USD
